fdcId,description,foodCategory,brandOwner,brandName,packageWeight,publishedDate,Protein G,Total lipid (fat) G,"Carbohydrate, by difference G",Energy KCAL,Total Sugars G,"Fiber, total dietary G","Calcium, Ca MG","Iron, Fe MG","Sodium, Na MG","Vitamin C, total ascorbic acid MG",Cholesterol MG,"Fatty acids, total trans G","Fatty acids, total saturated G",Vitamin A UG,"Potassium, K MG",Vitamin D (D2 + D3) UG,"Sugars, added G"
2617100,ALL NATURAL GLUTEN FREE CHICKEN NUGGETS,"Frozen Poultry, Chicken & Turkey",Golden Platter Foods Inc.,GOLDEN PLATTER,24 oz,8/31/2023,18.8,9.41,8.24,194,0,0,0,0.85,400,1.4,47,0,2.35,0,,,
2604504," ALL NATURAL ROSEMARY & OLIVE OIL BASMATI RICE, ROSEMARY; OLIVE OIL",Flavored Rice Dishes,SLT Foods Inc.,HERITAGE SELECT,6.5 oz,7/13/2023,6.52,0,78.3,326,2.17,2.2,22,3.04,1000,,0,0,0,,87,0,0
2570670,ARTISANAL COLLECTION SPAGHETTI PASTA,Pasta by Shape & Type,Barilla G & R F.Lli S.P.A.,BARILLA,1 lb,6/29/2023,14.3,1.79,73.2,357,1.79,5.4,21,3.57,0,,0,0,0,,211,0,
2607109,AUTHENTIC BARREL RIPENED FETA CHEESE,Cheese,"Wdh, LLC",APHRODITE,6 oz,7/13/2023,14.3,25,0,286,0,0,214,0,1210,,82,0,17.9,,0,0,0
1861692,BERRY NUT BLEND BREAKFAST IN THE GO!,"Popcorn, Peanuts, Seeds & Related Snacks","Snyder's-Lance, Inc.",EMERALD,212.5 g/7.5 oz,7/29/2021,9.41,21.2,58.8,447,40,7.1,188,2.54,153,0,0,0,4.71,,,,
2624305," BLACK CHERRY PURE ENERGY SELTZER, BLACK CHERRY",Soda,Energy Beverages LLC,TRUE NORTH,12 fl oz,8/31/2023,0,0,0,0,0,,,,0,4.2,,,,63,,,0
2611238,BLUE LAKE CUT GREEN BEANS,Canned Vegetables,Del Monte Foods Inc.,DEL MONTE,14.5 oz,7/13/2023,0.83,0,2.48,17,0.83,0.8,26,0.41,314,,0,0,0,,79,0,0
2598948,BRIE TRIPLE CRME SOFT-RIPENED CHEESE,Cheese,Besnier S.A.,PRSIDENT,8 oz,7/13/2023,14.3,39.3,0,393,0,0,286,0,500,,107,0,25,,0,0,0
2614606,BUFFALO STYLE WHIPPED CREAM CHEESE SPREAD,Cheese,Kraft Heinz Foods Company,PHILADELPHIA,7.5 oz,8/31/2023,4.55,13.6,13.6,205,4.55,4.5,0,0,682,,45,0,9.09,614,0,0,0
2562699," CHEDDAR & SOUR CREAM FLAVORED POTATO CHIPS, CHEDDAR; SOUR CREAM","Chips, Pretzels & Snacks",Frito-Lay Company,RUFFLES,1.5 oz,6/29/2023,7.06,35.3,54.1,541,4.71,4.7,47,1.88,659,14.1,0,0,4.71,,1200,0,
2216356," CHOCOLATE CAKE HOOPIE PIES,  CHOCOLATE CAKE","Cakes, Cupcakes, Snack Cakes","US Foods, LLC",WAXHAW BAKING CO.,4 oz/113 g,1/6/2022,4.42,14.2,40.7,345,27.4,0.9,27,4.78,520,0,5310,0,4.42,,,,
2565292," CHOCOLATE CHIP PROTEIN MUFFIN MIX, CHOCOLATE","Cake, Cookie & Cupcake Mixes","Continental Mills, Inc. ",KRUSTEAZ,16.22 oz,6/29/2023,13,6.49,68.8,390,41.6,5.2,169,2.99,364,,0,0,2.6,,377,0,36.4
2689988,Ciabatta Pepper Jack Melt WG,Sandwiches/Filled Rolls/Wraps,East Side Entrees,ES Foods,3.9 ONZ,5/16/2024,14.4,16.2,24.3,297,1.8,1.8,324,0.9,658,0,45,0,9.01,0,126,0,0.9
1909487," COCONUT WATER BARS, MANGO",Ice Cream & Frozen Yogurt,C2O LLC,C2O,12 fl oz/356 mL,7/29/2021,0,3.37,19.1,112,18,1.1,0,0,62,2.7,0,0,3.37,,213,,
2625976," DEATH WISH COFFEE CO LATTE, 8 FL OZ",Other Drinks,Death Wish Coffee Company LLC,DEATH WISH COFFEE CO,8 fl oz,8/31/2023,2.5,1.25,12.9,71,12.1,0,88,0.08,112,,6,0,1.04,46,158,0,8.3
2536550,DRIED CHERRIES,Wholesome Snacks,,PF SNACKS,5 oz,4/27/2023,0,0,77.5,325,75,0,100,0.9,0,,0,0,0,,175,,32.5
2642921,DULCE DE LECHE CREAM  WAFER COOKIES,Crackers & Biscotti,Tug Records,BRIDGE,5.33 oz,9/14/2023,6.06,27.3,69.7,545,36.4,0,0,1.52,76,,0,0,13.6,,0,0,36.4
2677752," EARLY BIRD MULTI SEED ORGANIC SMALL BATCH BREAD, EARLY BIRD MULTI SEED",Breads & Buns,"Whole Foods Market, Inc.",365 EVERYDAY VALUE,28 oz/795 g,11/16/2023,9.26,7.41,42.6,278,5.56,3.7,37,2.67,333,2.2,0,0,0,0,167,,
2636702,EGGPLANT,Pre-Packaged Fruit & Vegetables,"Ahold USA, Inc. ",NATURE'S PROMISE,10 oz/283 g,9/14/2023,0,0,5.95,24,3.57,3.6,0,0,0,1.4,0,0,0,0,,,
2616184,EVERYTHING DELI-STYLE BREADSTICKS,Breads & Buns,A Angonoa Inc,ANGONOA,8 oz,8/31/2023,13.3,10,66.7,400,0,6.7,133,4.8,1000,0,0,0,0,0,,,
2597083,EXTRA SHARP WHITE CHEDDAR CHEESE,Cheese,"Borden, Inc.",BORDEN,8 oz,7/13/2023,21.4,32.1,3.57,393,0,0,711,0,643,,107,0,17.9,,0,0,0
2614705," FOUR CHEESE RAVIOLI PASTA, RICOTTA; MOZZARELLA; PARMESAN; ROMANO",Other Deli,Buitoni Food Company,BUITONI,20 oz,8/31/2023,11.8,8.6,36.6,269,2.15,2.2,151,1.08,527,,49,0,3.23,,151,0,0
1796587,FRENCH BREAD,Breads & Buns,"La Campagne, Ltd.",LA CAMPAGNE BAKERY,650 g,6/17/2021,9.3,2.33,51.2,279,0,2.3,70,2.51,605,0,0,,1.16,,,,
2595928," FRIED ONION RING POTATO CRISPS, FRIED ONION","Chips, Pretzels & Snacks",The Kellogg Company,PRINGLES,5.5 oz,7/13/2023,3.57,32.1,57.1,536,3.57,3.6,0,1.43,750,,0,0,8.93,,393,0,0
2622491," GINSENG AND HONEY GREEN TEA, GINSENG AND HONEY",Iced & Bottle Tea,Ferolito Vultaggio & Sons,ARIZONA,12 oz,8/31/2023,0,0,7.5,29,7.08,0,0,0,4,25,0,0,0,0,,,
2583671,GRAIN FREE CHIPOTLE BBQ TORTILLA CHIPS,"Chips, Pretzels & Snacks",Garza Food Ventures,SIETE,4 oz,6/29/2023,3.57,25,75,500,7.14,10.7,71,2.14,536,,0,0,3.57,,536,0,3.6
2629440,HOMESTYLE SAUERKRAUT,"Pickles, Olives, Peppers & Relishes",Del Monte Foods Inc.,DEL MONTE,32 oz,8/31/2023,0,0,3.33,17,0,0,27,0.67,700,,0,0,0,,130,0,0
2569535,HOT CHICKEN WING SAUCE,"Seasoning Mixes, Salts, Marinades & Tenderizers",Baldwin Richardson Foods Company,NANCE'S,12 oz,6/29/2023,0,0,9.38,47,6.25,3.1,28,0,2470,,0,0,0,,250,0,3.1
1917952," HOT CHOCO LATE, ORANGE",Powdered Drinks,Beaumont Corp.,CHOCOLATERIE MONBANA,8 oz/227 g,7/29/2021,10,5,80,335,65,10,0,22.5,5,0,0,0,5,,,,
2618977," ITALIAN SAUSAGE GARLIC & ROMANO SAUCE,  ITALIAN SAUSAGE",Prepared Pasta & Pizza Sauces,"Mizkan America, Inc.",BERTOLLI,24 oz/680 g,8/31/2023,2.36,2.36,11,71,10.2,0.8,31,1.42,402,16.5,4,0,0.39,177,,,
1983487," JAM, PEACH MANGO HABANERO","Jam, Jelly & Fruit Spreads",Clear Creek Orchard,CLEAR CREEK ORCHARD,9 oz/255.14 g,7/29/2021,7.75,0,115,453,113,15.5,106,1.9,22,182,0,,,,,,
2183081,Kellogg's Sultana Bran Buds 450g,Breakfast Cereals - Hot And Cold,No Brand Owner supplied for New Zealand Data,Kellogg's,450g,10/28/2021,8,1.71,66.9,348,24,14.9,,8.57,123,,,,0.29,,,,
2583374," KETO FRIENDLY CHOCOLATE MINT SANDWICH COOKIES, CHOCOLATE; MINT",Cookies & Biscuits,Catalina Snacks Inc.,CATALINA CRUNCH,,6/29/2023,16.7,25,50,375,8.33,12.5,125,4.17,396,,0,0,12.5,,125,0,8.3
2598227," KETTLE COOKED CRACKED PEPPER & SEA SALT FLAVORED POTATO CHIPS, PEPPER; SEA SALT","Chips, Pretzels & Snacks",Herr Foods Inc.,HERR'S,7.5 oz,7/13/2023,7.14,28.6,57.1,500,3.57,3.6,43,0,1500,21.4,0,0,7.14,,1170,0,0
2569209," KETTLE COOKED MESQUITE BBQ FLAVORED POTATO CHIPS, MESQUITE BBQ","Chips, Pretzels & Snacks",Herr Foods Inc.,HERR'S,7.5 oz,6/29/2023,7.14,28.6,60.7,500,7.14,3.6,25,0,821,21.4,0,0,7.14,,1100,0,7.1
2653691," LIGHTLY SALTED BARBECUE FLAVORED POTATO CHIPS, BARBECUE","Chips, Pretzels & Snacks",Frito-Lay Company,LAY'S,2.625 oz,10/26/2023,7.14,32.1,57.1,571,7.14,3.6,36,2.14,214,12.9,0,0,5.36,,1360,0,3.6
1955382," LITE EXPORT SODAS CRACKERS, LITE",Crackers & Biscotti,Rovira Biscuit Corporation,ROVIRA,20.1 oz/569.8 g,7/29/2021,6.67,3.33,53.3,300,0,0,13,320,567,,0,0,0,,67,,0
2603373,LOW CARB TRADITIONAL STYLE WHITE FLOUR WRAP,Mexican Dinner Mixes,Mi Ranchito Corporation,MI PANCHITO,,7/13/2023,9.52,11.9,26.2,190,0,16.7,152,2.38,381,,0,0,5.95,,21,0,0
2674806,LOW MOISTURE PART SKIM MOZZARELLA STRING CHEESE,Cheese,"Lactalis American Group, Inc. ",GALBANI,24 oz,11/16/2023,25,21.4,0,286,0,0,661,0,607,,71,0,12.5,,86,0,0
2631585,MANZANILLA OLIVES PIMIENTOS & CAPERS ALCAPARRADO,"Pickles, Olives, Peppers & Relishes","Goya Foods, Inc. ",GOYA,g,9/14/2023,0,13.3,6.67,133,,,,,2200,,,,0,,,,
2568213,MAPLE  PORK SAUSAGE LINKS,"Sausages, Hotdogs & Brats",Smithfield Farmland Corp.,SMITHFIELD,,6/29/2023,3.81,8.57,1.9,100,1.43,0,5,0.24,362,,19,0,2.86,,71,1,1
2114711,MARSHMALLOW MICE,Candy,Walgreens Co.,FRIGHTFULLY YUMMY,0.7 oz/20 g,10/28/2021,5,0,75,350,50,,,,0,,0,0,0,,,,50
2616495,MEDIUM CHUNKY SALSA,"Oriental, Mexican & Ethnic Sauces",Herr Foods Inc.,HERR'S,16 oz,8/31/2023,0,0,6.67,33,6.67,0,0,0,533,16,0,0,0,60,,,
2563820," MEXICAN MOCHA WITH CHOCOLATE BITS INCLUSIONS COFFEE, MOCHA",Coffee,"Trilliant Food and Nutrition, LLC",CAF CAPS,0.67 oz,6/29/2023,5.26,10.5,31.6,211,15.8,0,53,2.63,289,,0,0,7.89,,368,0,15.8
2692200,Mexican Original 12 Inch White Heat Pressed Flour Tortillas,Biscuits/Cookies,Tyson Foods Inc.,Mexican Original,33 LBR,5/16/2024,7.47,,49.2,294,2.62,1,106,2.84,858,,0,0.1,2.27,,96,0,1.5
2653229,MINI MARIA COOKIES,Cookies & Biscuits,"Goya Foods, Inc. ",GOYA,12.35 oz,10/26/2023,6.45,9.68,80.6,452,22.6,3.2,0,0,306,,0,0,4.84,,0,0,22.6
2653684,MINIS GARDEN SALSA FLAVORED WHOLE GRAIN SNACKS,"Chips, Pretzels & Snacks",Frito-Lay Company,SUNCHIPS,0.5 oz,10/26/2023,7.09,24.8,63.8,496,7.09,7.1,71,2.13,496,,0,0,0,,284,0,7.1
2584567,NO. 22 MEMPHIS-STYLE SWEET SMOKY BARBEQUE SAUCE,Other Cooking Sauces,Lillie's Q Sauces & Rubs,LILLIE'S Q,21 oz,6/29/2023,0,0,41.2,176,38.2,0,44,0,765,,0,0,0,,250,0,35.3
1859920,NUTS & SEEDS,"Popcorn, Peanuts, Seeds & Related Snacks","Bay Valley Foods, LLC",ORCHARD RESERVE,198 g/7 oz,7/29/2021,13.3,26.7,50,500,33.3,6.7,67,1.2,200,0,0,0,3.33,,,,
2598460," ORGANIC BEET + CHERRY JUICE, BEET; CHERRY","Fruit & Vegetable Juice, Nectars & Fruit Drinks",Royal Wine Corporation,BEETOLOGY,8.45 fl oz,7/13/2023,1.2,0,9.2,40,6.8,2,0,0.28,0,,0,0,0,,204,0,0
